content,score,label
ganti hp malah tidak bisa login padahal udah foto KTP segala di hp..suruh Datang ke kantor BRI...udah datang udah nyerahin hp nya..nyerahin KTP nya nyerahin kartu ATM nya...eh diminta buku tabungan..bilang nya mau liat data di buku tabungan...apa kalian tidak menyimpan data base gitu?sepenting apa buku tabungan dijaman era serba mbangking...CONTOH...pernah ganti kartu ATM BCA modal KTP doank...kelar...Mandiri juga begitu...eh ini Bank Konoha...macem²...kaku bener...udah tahu butab hya lupa naro,1,Negatif
kenapa uang palsu tidak bisa terdeteksi di mesin ATM sehingga saya mendapatkan uang palsu pada lembaran uang yang saya ambil di mesin ATM,2,Negatif
aplikasi lag terus gak bisa masuk ..2 kli terulang kembali,1,Negatif
permudahlah mode pembayaran.,3,Netral
transaksi mudah dan tidak ribet n cukup membantu,5,Positif
lebih bagus yang versi dulu. tidak ada hambatan. versi baru ini sedikit2 minta konfirmasi. tolonglang di oerbaiki lagi. demi kelancaran bisnis kami,2,Negatif
kenapa ya aplikasi brimo aku keluar terus,3,Netral
"Brimo g bs d buka,udh tekan 0k,ttp sj g bs d bukak,,,sngat merepotkan",1,Negatif
baik,4,Positif
ok,5,Positif
setiap notifikasi masuk dari BRImo saldo dipotong terus,1,Negatif
"kirain saya doang yang buka apk brimo ini dikasih blank, screen warna putih ditungguin lama juga ttp begitu, pas liat ulasan ternyata bukan saya doang, tolong diperbaiki ya min, ini saya mau pembayaran gabisaa, kalo udh bener nanti saya ganti bintangnya.",2,Negatif
"kadang pas dibuka apk nya hanya muncul layar putih, pdhl sinyal bagus",3,Netral
bagus👍🏻,5,Positif
"sama keluhannya white screen,n log out 😞",3,Netral
Setelah pembaruan apk nya malah sama sekali tidak bisa di buka. Hanya menampilkan layar putih. Sangat merepotkan,1,Negatif
"kak,knp 2 bulan terakhir ini setiap buka brimo selalu layar putih,aku restart tetep aja putih,endingnya aku hapus download ulang,dan bgtu trus setiap aku buka...ya kalau pas ga darurat,kalau pas darurat prosesnya lumayan makan waktu,soalnya harus verifikasi ulang baik KTP maupun wajah...knp ya kak?sedih akuutuhh..",3,Netral
mantab,5,Positif
tidak bisa dibuka,3,Netral
halo brimo. kenapa saldo ku gk masuk2 ya? di notif masuk tp saldo tetap dan tidak bertambah. gimana sih?,1,Negatif
ini aplikasi nya emng rada rada atau gimna sih masa TF ke dana ga bisa sama sekali heran tolonglah kadang juga butuh sesuatu di dana tapi uangnya di brimo semua jadi sulit mau TF kok perlu,3,Netral
"hllo bri,apakah brimo sedang mengalami kendala akhir akhir ini ,karna bri mo saya tidak bisa di buka",3,Netral
aplikasi sampah,1,Negatif
semoga aman nabung di bri,5,Positif
tidak bisa login,3,Netral
"kenapa muncul tulisan konesimu tidak baik padahal sinyal internetnya kuat, parahhhh",1,Negatif
pemakaian 7 bukan masih aman🤗,5,Positif
perbankan yg paling ribet dan paling menyulitkan masyarakat,1,Negatif
mantap,5,Positif
bisah ngk ya kalo daftar ulang brimo yg usah ada verifikasi muka,5,Positif
"knpa selalu ada potongan2 gak jelas yaa?, tiap beberapa hari pasti ada dana yg keluar, kadang 800 perak kadang 2500, pernah juga sampai 3750, tanpa pemberitahuan yg jelas, padahal saya gak pakai untuk transaks, ini knpaa yaa???????,",3,Netral
brimo saya gk bisa dibuka sama sekali. padahal saya sudah instal lagi setelah beberapa hari,2,Negatif
tolong kasih opsi tarik tunai 50rb,3,Netral
ketar ketir takut kebobolan rekening,3,Netral
mantap,5,Positif
ini bank plat merah kalo bikin aplikasi slalu gak bener susah buat daftr dan ribet.,3,Netral
Brimo mulai g jelas...pas login diarahkan mulai fhoto e ktp.customer juga pelayanan di wa setengah hati...habis tanya berapa saldo brimo.setelah dikasih tau langsung dimatikan tlp.dan g ada pelayanan lanjutan...sangat mengecewakan pelayanannya.,3,Netral
"bank BRI GK jelas uwang ku hilang 2x pertama 3jt .skrg 36jt . yg pakek brimob hati""sebelum kejadiyah kyak aku",1,Negatif
suka keluar sendiri,2,Negatif
aplikasinya kalo dibuka suka blank putih,3,Netral
"brimo sangat membantu ,bagus praktis,,cma sekarang kenpa gak bisa di buka,,apa lagi gangguan? ,,biasa selalu lancar kalo mau transakai mohon penejasan nya",5,Positif
bagus banget,5,Positif
trimakasih buat layanannya hari ini.,5,Positif
"aplikasi.y ribet, gk kyak aplikasi brimo sebelum.y",1,Negatif
puas banget dengan ada nya aplikasi brimo smoga aplikasi brimo tetap menjadi yg terbaik,5,Positif
kenapa apk sering keluar sendiri,3,Netral
"login susah, keluar Mulu. padahal data ok sinyal ok, mohon di tingkatkan kualitasnya",3,Netral
Kenapa sudah terinstal tapi tidak bisa dibuka,3,Netral
buruk aplikasi 2 kali sy donload tetep gak bs d buka cuman layar putih aja,1,Negatif
sangat membantu,5,Positif
"gimna ini brimo tidak bisa di buka lagi, mohon bantuan secepatnya, sudah cape intal ulang terus, layarnya ttp sj biru dan putih tidak kluar tempat mengisi pasword dan username.",1,Negatif
sangat membantu dalam setiap transaksi,5,Positif
"verifikasi wajah berapa kali gagal terus,apalikasi tidak jelas mempersulit",1,Negatif
kenapa ya kak setiap mau buka aplikasi brimo white screen,3,Netral
mantapp,5,Positif
"hallo, knp brimo saya gk bisa di klik aplikasi nya?",3,Netral
selama ini aplikasi brimo menang sangat membantu dan mempermudah transaksi namu kenapa dengan saat ini akun brimo saya ndak bisa masuk dan hanya menampilkan warna putih saja apakah terkait problem yg saya alami saat ini?,3,Netral
Sangat membantu dlm transaksi keuangan,5,Positif
sangat puas,5,Positif
"aplikasi yg tak berguna, susah dipakai",3,Netral
gak bisa login gara gara harus foto e ktp sedangkan ktp nya sudah buram jadi tidak tervirifikasi,2,Negatif
aplikasi brimo selama ini bagus dan bermanfaat banget . Tapi hari ini saya mau transaksi tapi aplikasi nya tidak bisa di buka sama sekali. Waktu mau login tiba² ngeblag layar nya jadi putih semua,5,Positif
kok akhir2 ini setiap dibuka tampilan hanya layar putih...saya kira memori hp saya penuh..sampai saya belikan MMC baru..eh tetep saja begitu....setiap lali mau transaksi QRIs kebetulan gkbs buka...duh malu nya...harus hapus app..donlod lagi...verivikasi lagi...haduhh capek,4,Positif
knapa uang tidak terkirim² hanya di proses trus padahal sudah 3 hari,5,Positif
"sangat membantu,, terimakasih",5,Positif
"awalnya bagus dan mempermudah, tapi kenapa sekarang tiba2 ngk bisa di buka, pas di buka yang kelihatan hanya layar putih kosong",1,Negatif
"apk bank paling masalah, sangat kacau aplikasinya",1,Negatif
transaksi mudah,3,Netral
"Aplikasi Brimo selama ini bagus menbatu bgt untuk transaksi dimanapun dan kapanpun, tetapi udah tiga hari saya terkendala brimo tidak bisa dibuka sama sekali ,ngeblek layarnya putih",3,Netral
cepat,1,Negatif
jeleeeeek sekali....saat butuh sekali malah tidak bisa dibuka apknya.....sangat buruk,1,Negatif
"nomer tidak aktif langsung nonaktif brimo nya, mau daftar lagi susah.menyusahkan masa harus ke bank nya . menyusahkan",1,Negatif
ok,5,Positif
jelek banget aplikasinya mau verifikasi wajah log in pindah perangkat gagal terus udah 5 hariii aneh,1,Negatif
apa sih brimo sekarang ga kayak biasnya lagi .ini keluar Mulu masuk previkasi lagi lah aneh ga bagus brimo ni udah verivikasi dh masuk e keluar lagi aneh yang bener dong kalo dah verivikasi wajah ini kah dah bener malah keluar lagi keluar lagi tolong dong benerin,1,Negatif
usahakan perbaiki untuk login ..terima kasih,5,Positif
"sangat membantu, tapi tdk dengan pemotongan yg tiba2.",3,Netral
"kenapa saat ingin membuka aplikasi tiba""warna nya putih terussss yaaaa",2,Negatif
ini sudah ke 3 kalinya gak bisa login maaf bintang 1 coba deh di perbarui lagi jadi ribet,1,Negatif
setiap login ga bisa .. harus hapus dan instal lagi dan verifikasi lagi. gimana ya ini?,1,Negatif
"mungut nya tuh mungut banget? wkwkwk naro uang 325 db tau tau berkurag 11 rb? alhasil cuma bisa tf 288rb, ya allah itu pdhal lumayan buat makan, nyesel nabung di BRI asli dah ga boong",1,Negatif
kenapa gak bisa ke buka malah ngebleng putih,3,Netral
brimo'a gak bisa ke buka,1,Negatif
ko tiap kali d buka susah masuknya,3,Netral
"aplikasinya bagus, sayang tidak ada menu untuk memperbaharui kartu ATM yang sudah kadaluarsa",3,Netral
"app BRIMO masih bermasalah,kasus tetap tidak bisa di buka,,tolong ini bagaimana,semua di platflom sosmed keluhannya hampir sama,tapi kok belum ada perbaikan.",3,Netral
"mantap, sangat mempermudah",5,Positif
"knpa brimo susah d bukak skrg? d bukak ngk bisa layarnya putih semua,di install ulang baru bisa, masak y d install terus,tolong d perbaiki ya",3,Netral
kenapa aplikasi brimo ini selalu saja gangguan. dan tjdak bisa masuk ke akun,3,Netral
aplikasi burik GK jelas,1,Negatif
apk nya buruk ribet skrng mau login pakai KTP giliran dah di bikinin malah KTP berbeda trus 3 bulan tidak transaksi Mlah ATM ke blokir buat teman teman mending pakai ATM lain aja,1,Negatif
sangat bagus,5,Positif
dula lancar aja aplikasi brimo sekarang 2026 malah sering blank kalau mau masuk aplikasi dan harus hapus aplikasi dan login lagi.,3,Netral
"kenapa brimoku sekarang sering ngeblank,TDK bisa buka",3,Netral
aplikasi brimo ko gak bisa ke buka yah,3,Netral
keren,5,Positif
aplikasi ga bisa login,1,Negatif
jelekk,1,Negatif
"Aplikasinya mantap, mudah diakses, bisa langsung mendaftar tanpa harus ke BANK dulu, saya senang sekali karna sangat membantu, Terimakasih Banyak 🙏",5,Positif
oke,5,Positif
baik,5,Positif
hallo kak.. kenapa ya klo masuk brimo susah banget menampilkan putih semua dan itu sering banget terjadi dan ujung2nya harus di instal ulang dan melakukan pendaftaran ulang saat akan masuk harus ada ktp lah dan perifikasi wajahlah dll dan itu sangat meropotkan saat akan di gunakan mendadak,3,Netral
ni apk napa dah login aja susah pake verifikasi ktp segala trs dibagian verifikasi ktp selalu gagal trs padahal udh bener tolong perbaiki apknya,1,Negatif
nice planggan setia,5,Positif
good,3,Netral
mantap,5,Positif
mantap,5,Positif
bagus banget,5,Positif
"knapa brimo Ndak bisa di buka padahal sdah masuk di aplikasi ,selalu saja keluar terus dari aplikasi padahal lagi butuni 🤦",3,Netral
sangat bagus,5,Positif
"selalu lancar dan cepat, membantu skl dlm transaksi.",5,Positif
knp saya tidak bisa login akun,3,Netral
memudahkan,5,Positif
bagusd,5,Positif
"kenapa selalu muncul layar putih saja setelah tulisan Brimo muncul,sering banget cuma layar putih,kemarin di complain udah bisa,sekarang balik lagi cuma layar putih,apakah brimo ada kendala terus setiap akun d buka selalu muncul layar putih saja? mohon perbaikannya",5,Positif
gmn ini BRI knpa setiap 4hari sekali sllu ngambil biaya 750...saya cek motasi katanya biaya sms..saya cek di sms kok gak ada sms masuk ..750perak 4hri skali lumayan 😇,1,Negatif
Tidak bisa dibuka hanya layar blank putih,1,Negatif
"maaf, saya ganti HP baru. trs login, kenapa verifikasi wajah selalu gagal. dN ke cs bank pun nggak bisa juga. mohon solusi",5,Positif
tiba tiba hilang sendiri aplikasinya,1,Negatif
Terimakasih Brimo atas kemudahan yang diberikan.,3,Netral
apakah ada kendala kok brimo tidak bisa dibuka,3,Netral
kenapa sekarang sering gangguan aplikasinya. . .,3,Netral
mudah dan nyaman,5,Positif
"apikasi tertutup kembali langsung sesaat setelah saya mau membukanya. payah. amoe sekarang g bisa kepake lagii, cuiiih sampah banget",1,Negatif
sudah saya updat tpi malah klo buat login ngak bisa. tampilan menu login ngak ada. semua layar berubah jdi putih.. mohon bantuanya,3,Netral
"habis update buruk kali, mau masuk aja verif kadang g bisa masuk",1,Negatif
suka,4,Positif
ribet login nya tolol,1,Negatif
"kenapa aplikasi tidak bisa dibuka ya min, pas mau masuk di aplikasi tiba-tiba keluar",5,Positif
Bagus,5,Positif
M-banking paling aneh. sejak kemarin tiba2 akun saya hilang urus ke bank selesai dari itu masalah berlanjut. masa iya tiap login harus verifikasi? foto KTP sama wajah? belum lagi yg ke 3 malah limit harian. mau login aja loh susah banget,1,Negatif
"saya kurangin bintangnya karna sering ngeblank,akibatnya tiap mau dipake harus selalu install ulang,padahal apk ini bagus bgt dan praktis sayang sekali",3,Netral
knpa saya tidak bisa login masuk,3,Netral
"Brimo sering bermasalah, susah untuk login,",3,Netral
Ok,3,Netral
BRI sekarang parah buka nbangking ja susah bnget aneh masa pakai wifi ga bisa bisa.. harus pakai data/kuota padahal wifi lancar bnget.. kecewa ja sih lola kl pakai wifi,2,Negatif
bagus,5,Positif
cepat,5,Positif
"padahal dari 2022 aku pake BRIMO bagus"" aja, dan ga terlalu pungut biaya. kenapa makin ke sini tiba"" pemotongan Rp. 6.000,00yang gatau itu dari mana, pemotongan biaya bulanan Rp. 3.500,00 terus setiap ada SMS masuk potong Rp. 750,00. jujur aja sedih banget, apalagi aku masih pelajar juga kalau begini terus yang ada uangku ga bisa di tarik karena saldonya yang kepotong terus. mohon dong ditindak lanjuti masalah ini yaa...",1,Negatif
tidak bisa membuka aplikasi.sulit.padahal puluhan tau paket bri,1,Negatif
"bri susah sekali dtelpon abis pulsa aja,antrian no 1 tpi telpon puluhan x ga mau angkat2.",3,Netral
Sangatt baik,5,Positif
"hallo maaf mau tnya, kenapa brimo ku g bisa dibuka, pdhl sdh sy perbarui,Terima kasih..",3,Netral
mantap,5,Positif
"mau cek nomor rekening selalu ada tulisan ""mohon cek internet, paket data dan wifi,"" padahal wifi dan paket data lancar banyak. ini gimana caranya mau cek nomor rekening kalo gak bisa di buka tolong di perbaiki",3,Netral
Terbaik,5,Positif
saya top up brizzi udah ada keterangan transaksi berhasil dan saldo rekening saya udah berkurang tapi pas liat saldo brizzi nya belum masuk sama sekali udah melakukan pengaduan tapi ngga ada penanganan sama sekali,1,Negatif
kenapa login di hp baru tidak lolos verifikasi wajah terus?,2,Negatif
sedih min... dr tgl 15 apliksinya eror.. stiap mau login sllu layar putih.. klo mw login hrus hpus aplikasi dulu nnti donload lgi tp hrus verivikasi lagi min.. itu trllu lama bth bktu skitar 30 menit...,3,Netral
"taee gajelas banget nih, masa tiap mau login harus verifikasi KTP sama foto wajah mulu, mana satu hari cuma bisa maksimal 3x",1,Negatif
