user,rating,review,date
Rasumbut,1,emng kayak taik gak bisa verifikasi,2026-03-02 10:20:54
Tedjo Kusuma,5,Akunnya sering hilang di layar jadi tiap mau buka harus buka aplikasi dan login lagi,2026-03-02 10:19:52
Aaliya AFARA,5,baik,2026-03-02 10:17:06
mahatma dewantoro,2,"tlp cal center sampe 6menit nunggu, mau laporan penipuan, pulsa habis duluan, padahal antrean pertama",2026-03-02 10:08:55
Mistini 123,5,satpam way panji sangat ramah membuat aplikasi birimo,2026-03-02 10:05:57
Ihwan Udin,5,memudahkan dalam setiap transaksi keuangan,2026-03-02 10:02:22
Iyin Ciling,4,transaksi jadi lebih mudah,2026-03-02 10:00:25
Su hendri,5,sangat memmbantu..tapi hacker di bkacklist habis ya boss,2026-03-02 09:59:39
Saif Ibrahim,5,oke,2026-03-02 09:59:14
Grasella Surbakti,5,bagus banget,2026-03-02 09:58:57
Agus Imam,5,"Sangat Membantu, Mempermudah Segala Hal, Semoga Konsisten, Makasih..",2026-03-02 09:58:01
Dwi Lestari,4,bagus,2026-03-02 09:55:54
gagit laksi,1,aplikasi brimo sering lock sendiri proses transaksi jg lambat lemot payah,2026-03-02 09:55:05
Hidayatus,1,"aplikasi monyet, puasa puasa bikinnnnnn kesel aja luuuuu. Dibuka putiihhh muluu, kebelet chindo lu hahhhhhhhh",2026-03-02 09:49:17
Novi Sari,5,ok bagus,2026-03-02 09:47:32
Thomas tomi pratama,5,good apk,2026-03-02 09:46:04
Zubaidah saragih,1,"Aplikasi ccd, semua pengguna mempunyai kendala yg sama",2026-03-02 09:45:16
Cakopik Aja,5,sangat membantu,2026-03-02 09:44:15
Ferinus Zega,5,bagus,2026-03-02 09:43:38
Fajriyah Zainuddin Usman,5,pake brimo amat sangat membantu banget . terima ksh,2026-03-02 09:43:17
Sri Lestari,5,"trimakasih pak satpam ganteng,yg nma nya supiono sudah mmbntu permudah transaksi saya.",2026-03-02 09:37:28
Nur & jasri,5,mantaaaapppp,2026-03-02 09:36:55
Hendra Putra,5,sangat bagus,2026-03-02 09:35:00
kholif asbiansyah,5,oke mantap pembukaan rekening nya cepat sekali,2026-03-02 09:30:00
sitti fatima,5,sangat suka,2026-03-02 09:28:01
Adi Mustiadi,5,simple aplikasi mantab,2026-03-02 09:22:53
Leo Lebriansyah,1,bikin kecewa banget aplikasi brimo udh masukin id sama password udh masukin kode otp sama scan KTP pas di scan wajah gak bisa masuk ke mbaking ya parah emang aplikasi ya kelewatan banget,2026-03-02 09:22:12
Pipik Hidayat,2,ga bs di buka mana mau transaksi...rese nh brimo payah,2026-03-02 09:18:10
Zaky zayn,4,baik,2026-03-02 09:14:57
Asura Nouval,5,Baik,2026-03-02 09:11:16
Abdul Jalil,5,good,2026-03-02 09:10:46
Aly Rahman,5,bagus,2026-03-02 09:07:54
agia zanara,5,ok,2026-03-02 09:06:39
Liaaa Hiaa,4,sangat membantu,2026-03-02 09:03:39
Dian Novitasari,5,bagus aja,2026-03-02 08:58:48
Hela Nurfatwa,5,bagus dan lebih gampang,2026-03-02 08:57:20
Server Wangunjaya,1,"saldo sering di hold terus pernah setoran cicilan di tarik Doble pengembalian lama, sekalinya pengembalian saldo di tahan tidak bisa transaksi, pas di cek lagi saldo kembali di tarik, mau hapus rekening kalau kaya gini",2026-03-02 08:57:17
Yunfi,4,"Kenapa setiap saya membuka aplikasi selalu meminta verifikasi data diri, sangat membuat tidak nyaman harus verifikasi berulang kali. Bagaimana solusi untuk masalah saya?",2026-03-02 08:54:17
Sri Rahayu,5,enak pemakaian nya,2026-03-02 08:52:31
Pespri sembiring Sembiring,5,mantap,2026-03-02 08:49:10
Dede sulaeman,4,lumayan,2026-03-02 08:48:10
Purnama Wirawan,5,trimakasih BRI mobile banking yg selalu melayani nasabahnya dengan Baik cepat tanpa ribet,2026-03-02 08:45:40
Indra Wan,5,sangat membantu dan mudah,2026-03-02 08:44:48
Anggi Wulandari,5,ok,2026-03-02 08:44:41
Riadi Prabowo,5,bagus,2026-03-02 08:40:57
Deki Apriantoni,1,aplikasi nya ada. setelah di buka BRimo tdk bs terbukak. hanya layar hp nya putih aja. setelah di bukak.,2026-03-02 08:33:47
Andi Burhanuddin Abdullah,5,Awalnya tdk mudah... Foto Selfy berulang.. mungkin puluhan kali karena tidak fokus wajah senyumnya. Brimo mantap.,2026-03-02 08:23:34
Dian woto,4,kena apa akun brimo ga bisa di buka... selalu brimo ga nanggapi???,2026-03-02 08:22:11
ahmadmaulana kencong,5,mudah cepat praktis,2026-03-02 08:19:08
Rusman Mubarok (Rusman),5,baru pke lumayan ok lh,2026-03-02 08:18:48
Ari Wibowo,5,wirah suwiasta,2026-03-02 08:17:23
CURVA SUD PSS SLEMAN,5,mudah buat transaksi,2026-03-02 08:10:39
Hendri klo bisa nya sama denah nya Om Hen,3,tolong di perbaiki saya login g bisa trs harus donlot lg suruh prpikasih lg Lah.tolong di perbaik,2026-03-02 08:10:26
Yayu Magho,1,"setiap kali mau transaksi pake brimo harus verivikasi dulu,kira cuma Skali ternyata setiap kali mau transaksi harus verivikasi.sangat merepotkan",2026-03-02 08:01:17
Arsagaisa 76,5,bagus,2026-03-02 08:01:01
Ari Iskandar,1,tolong updt brimo kali ini jngan di bikin ribet setiap mau masuk login brimo harus verifikasi data terus apalagi g bisa berulang2 kali verfikaainya tolong di buat seperti versi sebelumnya aja,2026-03-02 07:59:27
nashirudin,4,suka sh tp sayangnya GK nambah 2 uangnya,2026-03-02 07:55:15
Mar Rini,5,"sejauh ini aman, mudah digunakan untuk sy yg gaptek",2026-03-02 07:54:20
Inengah Suwitra,5,mengirim uang dengan BRIMO mudah dan cepat serta aman.,2026-03-02 07:52:19
Nurhasandi Bae123,5,mantap adanya ini transver jdi mudah,2026-03-02 07:48:01
Kartini dG kanang,5,sangat mudah dan mempermudah dalam segala layanan transaksi 🙏⭐⭐⭐⭐⭐,2026-03-02 07:41:35
Alifun Rizky,5,"Dengan menggunakan aplikasi brimo, semua transaksi keuangan jadi lancar",2026-03-02 07:34:37
Irfan Irjaya,5,cepat dan akurat BRI semakin maju,2026-03-02 07:29:11
Yudi Winarto,4,"lebih mudah dlm transaksi, terima kasih brimo",2026-03-02 07:27:34
Lisdor Gultom,1,aplikasi brimo..per 3 bln harus..mendem load...dan daftar ulang...capek deh...,2026-03-02 07:27:00
Nunungirawan Nunung,5,bagus dan mudah,2026-03-02 07:26:14
muhamad jono,5,mantap,2026-03-02 07:20:54
Ahmad Kasim,5,aplikasi yang bagus untuk transfer atau pembelian pulsa,2026-03-02 07:11:02
Putu Suyasnika,5,kereeennn daah brimo,2026-03-02 07:07:53
Hery Santoso,5,terbaik,2026-03-02 07:00:37
wong Jawa,5,simpel,2026-03-02 06:52:43
Ferdy Lede,5,👍,2026-03-02 06:48:50
Suno Baydho3,5,oke,2026-03-02 06:46:12
Agus Hadi Santosa W.,5,ok,2026-03-02 06:22:57
Lidya Syawaliyah Nurrohmah,4,sangat mudah bermanfaat dalam melakukan transaksi bagus banget,2026-03-02 06:21:25
Arin Jaya Travel,5,dgn memakai BRImo semua jadi mudah&cepat saya tdk perlu lagi cek saldo&tranfer ke bank/ATM cukup di HP saja mks BRImo,2026-03-02 06:09:45
No Name No name,5,so far so good,2026-03-02 06:00:10
yanto Supriyadi,3,"maaf ini,KL mau suruh update langsung aja update GX mau masuk login layar putih mlh keluar LG,benahi LG lah coba🙏",2026-03-02 05:55:05
Dedeng Setiawan,5,gampang dan mudah untuk transaksi,2026-03-02 05:47:17
Venus man zega Zega,5,hai kk kenapa brimo saya begini dari mulai pertama pakai bagus sdh lama saya pakai di buka keluar biru tidak lama lagi keluar layar putih kok begitu sdh berapa kali saya instal tapi tetap seperti itu mohon batuanya,2026-03-02 05:42:22
Putri Kinanti,5,simpel,2026-03-02 05:31:34
Isma Dominic,1,pelayanan kurang,2026-03-02 05:21:54
Tenggernesia Adventure,5,sangat membantu,2026-03-02 05:21:38
jono slp,5,"sangat mantap👍🏻pengamanan aplikasinya, trimakasih atas pengamanannya, tingkatkan terus, apa lagi sekarang jaman era digital, penipuan juga semakin canggih, aplikasi ini juga jangan kalah, itu aja terimakasih",2026-03-02 05:20:02
Bg Jon,5,sangat memudahkan dalam transaksi,2026-03-02 05:09:04
Rajimin rajimin,5,"brimo nya setiap 3 hari instal trs kalau gak di instal gambarnya,putih doang",2026-03-02 05:06:39
Erik Jeep,2,sudah 2x aplikasi Brimo Begitu Login jadi LAYAR PUTIH semua. padahal Sangat Amat Penting.,2026-03-02 05:04:55
Pawonmak Sri,5,sangat baik,2026-03-02 04:38:03
Mufti Lanang,2,KOK GA BISA DI TF SIH,2026-03-02 04:32:43
Iwan Wally,5,saya puas,2026-03-02 04:32:42
Sharul Anwar,1,gak optimal,2026-03-02 04:26:03
gun jack,5,"Keren BRImo lah, semua jadi mudah disaat mendadak butuh transaksi finansial dengan BRImo ditangan. terus tingkatkan kualitas pelayanan mu BRImo",2026-03-02 04:18:42
Opp,5,ok,2026-03-02 04:18:19
ayuth channel,5,sangat membantu. transaksi cepat... mudah dan lancar,2026-03-02 03:58:51
Urip Budiharto,1,"stelah di update dg versi terbaru, tertulis aplikasi tdk kopatibel, gmana solusinya, android sy versi 8.9 dan aplikasi nya versi 2.93",2026-03-02 03:57:23
Khayla Khey,5,"Assalamualaikum kak, BRImo sy dari kemaren kenapa gak bisa login? Tolong kak ..🙏",2026-03-02 03:02:50
Wawan Mahmudin,5,mantap proses cepat gak pake lama,2026-03-02 02:46:43
Ray Raya,5,saya mau ganti rekening jadi simpades gimana caranya,2026-03-02 02:39:20
Agung Prwg,1,nri selalu ketinggalan aplikasi Bank lain sudah pakai IKD,2026-03-02 02:28:00
Decky kurniawan,1,"gak efesien, lelet",2026-03-02 02:24:00
echo belenk,4,sempurna,2026-03-02 02:16:15
Ahmad Saepuloh,5,kenapa brimo saya tidak bisa login,2026-03-02 02:05:14
Azka Rima yunus,5,ok,2026-03-02 01:58:39
armada armadapribadi,5,tingkatkan kepercayaan keamanan akun brimo security hamdal fitur baru yg terbaik banyak manfaat lainnya,2026-03-02 01:52:32
Wandi Toumpur,5,apliksi ini sangat berguna,2026-03-02 01:41:57
Oji Melati,5,nyaman dan aman,2026-03-02 01:35:53
MUHAMAD Yusuf,5,mantappp,2026-03-02 01:34:03
Andre Febriansyah,5,sangat cocok untuk transaksi atau pun tabungan,2026-03-02 01:29:34
ulin,5,"layout oke dan mudah dimengerti, blm pernah ada gangguan berarti. lanjutkannn!!",2026-03-02 01:28:39
Zainul Arif,5,samgan Mudah Bertransaksi dan Sefty,2026-03-02 01:26:25
Rizky Devi,1,kenapa pas diinstal keluar lagi konyol,2026-03-02 00:51:04
saep doank,4,ok,2026-03-02 00:45:32
Yoga Baguz,1,brimo apk busuk erorr terus,2026-03-02 00:44:40
Mak Ntik76,1,kebanyakan drama taiii.... kalian yang salah karena sistem aplikasi tolol ehh malah jadi nunggu 24 jam buat bisa verifikasi lagi....,2026-03-02 00:42:58
Andrewfp Andrew,5,good,2026-03-02 00:36:40
Cahya Wahyu,5,ok,2026-03-02 00:36:33
Ratno Timur,5,membantu banget,2026-03-02 00:36:22
Erlan Sbastian,5,brimo keren,2026-03-02 00:24:43
FN video,5,keren,2026-03-02 00:23:08
Harsen S,5,mantap,2026-03-02 00:17:13
Rhony05,5,sangat membantu saya untuk transaksi,2026-03-02 00:14:05
Lady Roose,1,"aplikasi buruk, sering banget transaksi eror",2026-03-02 00:01:02
Eka Pra,5,baik,2026-03-01 23:50:50
Muhammad Asrar,5,bagus,2026-03-01 23:43:29
Wijiati Tii,5,bagus sekali,2026-03-01 23:25:11
Yandi Rosyadi,5,okey sip,2026-03-01 23:15:26
Haris Zuares,5,sangat bagus,2026-03-01 23:14:04
Ica Uci,2,"bantu dong, lupa pasword untuk transfer",2026-03-01 23:12:33
muhammad fatoni,5,"aplikasi cepat dan responsif, tampilan menarik dan mudah dipahami",2026-03-01 23:05:51
Al Azid Jurohim One,5,Oke nice apk,2026-03-01 23:05:03
darah simanjuntak,4,kurang,2026-03-01 22:58:12
Fella 2708,5,pelayanan yang sangat bagus,2026-03-01 22:55:52
Fajar Arisanto,5,ok punya,2026-03-01 22:55:04
Suryadi Suryadi,1,"huuuuu loading lama banget lo, mendingan gw copot lagi",2026-03-01 22:49:46
Abdurrohman Soleh,5,mantap,2026-03-01 22:44:14
Kismani,5,"mantap, sangat membantu sekali 👍👍👍",2026-03-01 22:38:39
Sobintar Sihombing,5,jossss,2026-03-01 22:36:41
Vingky Vingky,5,Kka knpa kalu mau kirim ke dana susah?,2026-03-01 22:29:15
Hanifah Hanifah,5,puas dengan brimo,2026-03-01 22:24:25
Bambang Heru Rasianto,5,Bener banget,2026-03-01 22:21:16
Armindo Gege,5,sangat membantuu,2026-03-01 22:17:29
EVAN BENINGTON,2,mohon maaf aku uninstal soalnya sudah ngirim kendalanya lewat email sampai sekarang belum ada balasanya dan solusinya,2026-03-01 22:11:32
Perto Nela,5,gimana nih ko masuk ke brimo gak bisah sih kak,2026-03-01 22:08:35
Dude akung,1,"ini kenapa ngeblank putih gak bisa dipake,...gimana sih",2026-03-01 22:07:02
ade kusuma,4,sangat bagus,2026-03-01 22:00:44
KARMIJAN (mijan),5,transaksi sangat mudah,2026-03-01 22:00:05
Akma Akmal,5,sangat bagus,2026-03-01 21:55:43
Wawan Kurnianto,5,bagus sekali,2026-03-01 21:53:19
Ardi Jombang,5,BRImo the Besst,2026-03-01 21:51:56
Safa Nur Khariimah,5,kenapa gak bisa,2026-03-01 21:51:44
Huri Susanto,3,tidak bisa dibuka,2026-03-01 21:48:22
Yanus Lebo,5,terbaik,2026-03-01 21:38:43
Anto Bengkel,5,mantap,2026-03-01 21:36:14
Ali Bbm,5,baik,2026-03-01 21:33:07
Eka Putri,5,bagus,2026-03-01 21:31:56
Pahyuji 89,5,suka,2026-03-01 21:30:06
Budi Apriyanto,5,"saya registrasi ulang brimo tidak bisa padahal sudah konfirmasi ke pihak bank untuk mengganti pake nomor yang aktif.... tujuannya biar akun brimo saya lebih aman sekarang malahan tidak bisa kendala di registrasi nya gagal terus sampai"" cs bank BRI nya bingung sekarang bRiMo susah buat login malahan ribet",2026-03-01 21:25:50
Agus Solikin,5,punyaku gak bisa dibuka,2026-03-01 21:21:02
Komang Setia,5,sangat baik sangat membantu transaksi,2026-03-01 21:20:19
Iyanganjar Wijaya,5,semuwa jadi midah👍👍,2026-03-01 21:18:37
ipey Tan,5,makin sini makin bagus,2026-03-01 21:17:21
Nur Meriana,5,good,2026-03-01 21:11:45
azizul muiz,5,knp brimo saya suka g ke buka ya..kadang bagus kadang g ke buka,2026-03-01 21:09:44
Aqilla Harjo,5,ok mntap,2026-03-01 21:07:12
Tomz Byy,5,Hallo .. Brimo kenapa ya setiap kali buka selalu putih .. udah itu saya hapus Dwonlod lagi harus foto ktp trus dan foto muka dan itu trus menerus kyk gtu .. setiap kali buka harus foto ktp am muka ..,2026-03-01 21:06:56
Hendra Jaya,4,bintang 4 dulu klau makin bagus nanti ku kasih 5😁,2026-03-01 20:59:46
Indra Prasetya,5,nyaman,2026-03-01 20:59:04
mun faati,5,sangat2 membantu memudahkan transaksi,2026-03-01 20:58:47
pino pino,5,saya kasih bintang 5 untuk BRIMO,2026-03-01 20:54:13
Bang Lana,5,👍,2026-03-01 20:49:35
Agung Kurniawan,5,mantap,2026-03-01 20:47:24
Pratiwy,5,Jadi lebih mudah untuk melakukan transaksi ☺️👍,2026-03-01 20:45:11
Sri Onah,5,Membantu 👍👍,2026-03-01 20:39:58
Yanto Nuryanto,1,MASALAH BLANK PUTIH masih lanjut ternyata ....... kecewa kukir sudah bisa...,2026-03-01 20:30:48
Shinta Yuanita sari,4,saya mau buat rekening dari brimo gagal terus,2026-03-01 20:29:12
Abu Tholib,5,baik,2026-03-01 20:17:47
wahyu da silva serdadu,5,mantap,2026-03-01 20:08:36
Maketek Padang,5,bagaimana cara perolehan akun BRIMO utk partisipasi saham di investasi pasar saham,2026-03-01 20:02:49
Bunga Pertiwi,5,"selama pakai brimo aman dan lancar, solusi ketika malas ngurus atm karna udah ed",2026-03-01 20:02:04
Panjoel M,2,"Kenapa Sekarang Apk ini kok kalo d buka selalu Layarnya putih.. Habis itu Langsung keluar sendiri dari Apk, Bisa di buka tp harus di kosongkan datanya & masuk lagi, tp hanya satu kali.. & selalu begitu terus 😔, sementara saya kasih bintang 2 aja",2026-03-01 20:00:13
mariani sianturi,5,aplikasi mengapa sering error,2026-03-01 19:59:58
Oca Cibungsu,1,BRI t##ol..aplikasi ga bisa di buka .. miskin,2026-03-01 19:59:37
Bahtiar Ysf,5,mudah cepat mantap 👍,2026-03-01 19:59:34
Awendra Awendra,5,bagus,2026-03-01 19:51:23
Kagok Barbar,5,Oke memudahkan transaksi,2026-03-01 19:46:53
Balyanur Mustofa159,5,keren,2026-03-01 19:43:56
Heru Trisapto,2,brimo susah diakses. tiap buka aplikasinya selalu keluar layar putih. udah diupdate sama saja tidak ada perubahan.,2026-03-01 19:42:28
Fer Nan,1,"Brimo BRI Aplikasi Yang Sangat Membantu Untuk Nasabah Bertransaksi, Good Job",2026-03-01 19:41:11
AdityaEka Putra,2,"Gabisa Login, untuk scan E-KTP nya burem padahal camera jelas jelas normal.",2026-03-01 19:36:48
Permata Cell,5,ok,2026-03-01 19:36:18
Gelang Saputra,5,sangat 👍,2026-03-01 19:35:36
Suci Amalia Putri_B,1,tidak rekomen bank satu ini selalu bermasalah 1. mesin atm tidak layak pakai 2. uang sobek kok masuk atm 3. bank bri selalu antri dan lama,2026-03-01 19:30:15
Muhamad Ridho,5,sangat bermanfaat,2026-03-01 19:29:12
Prayudha Bachtiar,5,nice info,2026-03-01 19:26:12
alan dahlan,5,goods zoobss,2026-03-01 19:23:37
imam pratama,1,ini kenapa sampe sekarang belum bisa loqin terus ya .. aplikasi nambah gak jelas banget .,2026-03-01 19:21:09
Cicik Winarti,5,pelayanannya sangat bagus,2026-03-01 19:20:58
Retno Ayu wulandari,2,jelek bgt mls lah sm brimo setiap mau transfer ke bank lain pasti gabisa hrs nunggu 1 harian pdhl lagi dibutuhkan mls lah,2026-03-01 19:16:19
Iwan adis Tiya putra,5,sangat mudah dah simple express,2026-03-01 19:12:58
Ervan yuono,5,saya sangat puas dengan BRImo,2026-03-01 19:05:44
Iwanrega Suzuki,5,Sangat Membantu,2026-03-01 19:01:11
Haura Dasha,5,"Terima ksh atas pelayanannya yang sgt memuaskan, cepat, dan tepat waktu.",2026-03-01 18:52:27
Ashraff,5,sangat bagus,2026-03-01 18:52:20
MBoy,5,👍,2026-03-01 18:49:27
supadi padi,5,oke,2026-03-01 18:45:57
Wahana Wanci,3,sangat berarti,2026-03-01 18:45:36
Fanny Nyuknyeng,5,baguss,2026-03-01 18:42:02
Aditya yesyes,5,sangat mudah digunakan dan membatu..,2026-03-01 18:40:32
Hadi Sucipto,5,ok,2026-03-01 18:33:06
Sulistiono Sulistiono,5,simpel,2026-03-01 18:30:26
Surya Fidaaa,3,biasa,2026-03-01 18:23:46
Restu,5,"haloo kak ini kenapa selalu verifikasi ulang, padahal cuma keluar aplikasi dan itu terjadi dalam sehari",2026-03-01 18:21:11
Yosefina Maria koten,5,"Hallo brimoo ,saya udh pake brimo udah 1th lbih mau 2 ,tpi baru kali inii saya mendapat kendala saat masuk brimoo tba tba layarnya jadu warna putih semuaaa ,galama hitam ,itu gimnaa ya ? tolong arahannya min 🙏🙏☺",2026-03-01 18:20:52
Endah Pratiwi,2,"wahai brimo tercinta, tolong benerin qris anda krn saya susah banget ngescan buat bayar qris kirain cuma saya doang, ternyata temen2 saya yg pakai brimo juga kesusahan masalah scan qris yg susah banget",2026-03-01 18:16:10
Cardi Septian,5,bagus mudah di gunakan untuk berbagai transaksi,2026-03-01 18:13:05
Susyanto,1,"aplikasi perbankan paling ribet diantara yg lain, sudah sukses login tetep ngga bisa transfer dan buka kartu terblokir",2026-03-01 18:04:46
Ade Ruhyana,5,mudah cepat,2026-03-01 18:03:07
Christian Oxa Putra Perdana,5,mantab anjay,2026-03-01 18:02:23
Yulius,5,sangat membantu,2026-03-01 17:56:14
Dede Kusmiati,5,Alhamdulillah sangat membantu saya dengan brimo bisa bertransaksi tanpa harus ke ayam ketik amau tf... bayar BPJS listrik beli pulsa jug aja di mudah.. Terimakasih brimo,2026-03-01 17:50:22
Bima Pratama,5,sangat baik,2026-03-01 17:50:18
Edi Subianto,1,duit di ATM saya hilang pak /Bu 1.500.000,2026-03-01 17:45:00
Mon Lupi,1,tidak bisa berkata-kata tidak bisa membantu,2026-03-01 17:44:50
Toms Nevagivup,5,untuk saat ini cukup baik,2026-03-01 17:43:00
Aep Saepudin,5,sangat mudah bertransaksi,2026-03-01 17:42:02
Tomi Ko,5,bagus sangat membantu,2026-03-01 17:37:39
Eldi Yusmi,5,memudahkan transaksi,2026-03-01 17:07:50
Yanto Baraenk,5,sangat berguna,2026-03-01 17:06:54
Budi SF_87,1,"bug parah isi saldo dana berhasil ga ada notif,harus ulang lagi pas diulang berhasil jadi 2x isi anjiiing",2026-03-01 17:03:28
Fany Firdaus (Firdaus),5,oke,2026-03-01 16:58:44
Karlos _aguy,5,sangat membantu sekali,2026-03-01 16:57:37
Amar Muamar,5,mantap,2026-03-01 16:54:49
Muslimin,5,baik,2026-03-01 16:53:49
Jaya Hartono,5,tidak mudah eror,2026-03-01 16:49:05
Absar Salim,1,"Jangan pernah mengajukan kredit di BRI, mereka punya reputasi yang buruk dan seringkali menyalahi perjanjian kredit dengan nasabah. Contoh: cicilan yang jatuh tempo di Bulan Februari yang harusnya dana yang dipotong hanya untuk cicilan di Bulan Februari, akan tetapi dipotong juga hingga Maret bahkan pada saat masuk Bulan Maret sudah dipotong lagi untuk April padahal masih di awal Bulan Maret, bagaiman kita mau putar uang untuk usaha kalau semuanya diambil dan dipotong seperti ini??",2026-03-01 16:48:43
War Yanto,5,good,2026-03-01 16:43:05
KHALIK,1,"BRIMO KENAPA ENGGA BISA DI BUKA LAGI,TOLONG DI PERBAIKI SECEPATNYA.!!!!",2026-03-01 16:42:59
muhammadrendi saputra,5,top,2026-03-01 16:42:37
Deny Kiting,5,sama saya sdh berapa kali ini gk bisa log in begitu masuk brimo hbis tulisan brimo warna putih aja layar Bru tekluar sendiri begitu di download ulang baru bisa setiap mau login pasti download ulang terus saya,2026-03-01 16:38:10
papi bun,5,mantap,2026-03-01 16:32:37
Aranza Yahya dharaka,5,keren,2026-03-01 16:26:31
saddam mo,5,terimakasih telah memberikan kemudahan dlm bertran saksi,2026-03-01 16:22:50
Edy mulyadi,1,setiap mau buka aplikasi selalu cuma muncul layar putih tok harus dihapus aplikasi instal laginya isi data lagi. py ki bri ga ono perbaikan sistem po py je smp sekarang kok podo wae brimo dtutup mau bukak lagi cuma muncul layar putih harus hapus brimo trs instal lagi dan seterusnya,2026-03-01 16:22:39
Afitalia Rondonuwu,5,mantap,2026-03-01 16:18:44
Aldi Ganz,5,mantaaap,2026-03-01 16:04:30
Nur Hasan,5,susah,2026-03-01 16:04:03
Amak Ajaib,5,cepat dan tepat,2026-03-01 15:59:57
Sis Weloet,5,Memudahkan transaksi transfer dari rumah,2026-03-01 15:58:42
Muhammad Yusup,5,samnagat membantu bertransaksi,2026-03-01 15:57:16
acing Jay Jay jay,5,mntap,2026-03-01 15:53:50
Nurul Isna,5,sangat membantu,2026-03-01 15:52:48
