user,rating,review,date,clean_review,tokens
Kartini dG kanang,5,sangat mudah dan mempermudah dalam segala layanan transaksi 🙏⭐⭐⭐⭐⭐,2026-03-02 07:41:35,sangat mudah dan mempermudah dalam segala layanan transaksi ,"['sangat', 'mudah', 'dan', 'mempermudah', 'dalam', 'segala', 'layanan', 'transaksi']"
Alifun Rizky,5,"Dengan menggunakan aplikasi brimo, semua transaksi keuangan jadi lancar",2026-03-02 07:34:37,dengan menggunakan aplikasi brimo semua transaksi keuangan jadi lancar,"['dengan', 'menggunakan', 'aplikasi', 'brimo', 'semua', 'transaksi', 'keuangan', 'jadi', 'lancar']"
Irfan Irjaya,5,cepat dan akurat BRI semakin maju,2026-03-02 07:29:11,cepat dan akurat bri semakin maju,"['cepat', 'dan', 'akurat', 'bri', 'semakin', 'maju']"
Yudi Winarto,4,"lebih mudah dlm transaksi, terima kasih brimo",2026-03-02 07:27:34,lebih mudah dlm transaksi terima kasih brimo,"['lebih', 'mudah', 'dlm', 'transaksi', 'terima', 'kasih', 'brimo']"
Lisdor Gultom,1,aplikasi brimo..per 3 bln harus..mendem load...dan daftar ulang...capek deh...,2026-03-02 07:27:00,aplikasi brimoper  bln harusmendem loaddan daftar ulangcapek deh,"['aplikasi', 'brimoper', 'bln', 'harusmendem', 'loaddan', 'daftar', 'ulangcapek', 'deh']"
Nunungirawan Nunung,5,bagus dan mudah,2026-03-02 07:26:14,bagus dan mudah,"['bagus', 'dan', 'mudah']"
muhamad jono,5,mantap,2026-03-02 07:20:54,mantap,['mantap']
Ahmad Kasim,5,aplikasi yang bagus untuk transfer atau pembelian pulsa,2026-03-02 07:11:02,aplikasi yang bagus untuk transfer atau pembelian pulsa,"['aplikasi', 'yang', 'bagus', 'untuk', 'transfer', 'atau', 'pembelian', 'pulsa']"
Putu Suyasnika,5,kereeennn daah brimo,2026-03-02 07:07:53,kereeennn daah brimo,"['kereeennn', 'daah', 'brimo']"
Hery Santoso,5,terbaik,2026-03-02 07:00:37,terbaik,['terbaik']
wong Jawa,5,simpel,2026-03-02 06:52:43,simpel,['simpel']
Ferdy Lede,5,👍,2026-03-02 06:48:50,,[]
Suno Baydho3,5,oke,2026-03-02 06:46:12,oke,['oke']
Agus Hadi Santosa W.,5,ok,2026-03-02 06:22:57,ok,['ok']
Lidya Syawaliyah Nurrohmah,4,sangat mudah bermanfaat dalam melakukan transaksi bagus banget,2026-03-02 06:21:25,sangat mudah bermanfaat dalam melakukan transaksi bagus banget,"['sangat', 'mudah', 'bermanfaat', 'dalam', 'melakukan', 'transaksi', 'bagus', 'banget']"
Arin Jaya Travel,5,dgn memakai BRImo semua jadi mudah&cepat saya tdk perlu lagi cek saldo&tranfer ke bank/ATM cukup di HP saja mks BRImo,2026-03-02 06:09:45,dgn memakai brimo semua jadi mudahcepat saya tdk perlu lagi cek saldotranfer ke bankatm cukup di hp saja mks brimo,"['dgn', 'memakai', 'brimo', 'semua', 'jadi', 'mudahcepat', 'saya', 'tdk', 'perlu', 'lagi', 'cek', 'saldotranfer', 'ke', 'bankatm', 'cukup', 'di', 'hp', 'saja', 'mks', 'brimo']"
No Name No name,5,so far so good,2026-03-02 06:00:10,so far so good,"['so', 'far', 'so', 'good']"
yanto Supriyadi,3,"maaf ini,KL mau suruh update langsung aja update GX mau masuk login layar putih mlh keluar LG,benahi LG lah coba🙏",2026-03-02 05:55:05,maaf inikl mau suruh update langsung aja update gx mau masuk login layar putih mlh keluar lgbenahi lg lah coba,"['maaf', 'inikl', 'mau', 'suruh', 'update', 'langsung', 'aja', 'update', 'gx', 'mau', 'masuk', 'login', 'layar', 'putih', 'mlh', 'keluar', 'lgbenahi', 'lg', 'lah', 'coba']"
Dedeng Setiawan,5,gampang dan mudah untuk transaksi,2026-03-02 05:47:17,gampang dan mudah untuk transaksi,"['gampang', 'dan', 'mudah', 'untuk', 'transaksi']"
Venus man zega Zega,5,hai kk kenapa brimo saya begini dari mulai pertama pakai bagus sdh lama saya pakai di buka keluar biru tidak lama lagi keluar layar putih kok begitu sdh berapa kali saya instal tapi tetap seperti itu mohon batuanya,2026-03-02 05:42:22,hai kk kenapa brimo saya begini dari mulai pertama pakai bagus sdh lama saya pakai di buka keluar biru tidak lama lagi keluar layar putih kok begitu sdh berapa kali saya instal tapi tetap seperti itu mohon batuanya,"['hai', 'kk', 'kenapa', 'brimo', 'saya', 'begini', 'dari', 'mulai', 'pertama', 'pakai', 'bagus', 'sdh', 'lama', 'saya', 'pakai', 'di', 'buka', 'keluar', 'biru', 'tidak', 'lama', 'lagi', 'keluar', 'layar', 'putih', 'kok', 'begitu', 'sdh', 'berapa', 'kali', 'saya', 'instal', 'tapi', 'tetap', 'seperti', 'itu', 'mohon', 'batuanya']"
Putri Kinanti,5,simpel,2026-03-02 05:31:34,simpel,['simpel']
Isma Dominic,1,pelayanan kurang,2026-03-02 05:21:54,pelayanan kurang,"['pelayanan', 'kurang']"
Tenggernesia Adventure,5,sangat membantu,2026-03-02 05:21:38,sangat membantu,"['sangat', 'membantu']"
jono slp,5,"sangat mantap👍🏻pengamanan aplikasinya, trimakasih atas pengamanannya, tingkatkan terus, apa lagi sekarang jaman era digital, penipuan juga semakin canggih, aplikasi ini juga jangan kalah, itu aja terimakasih",2026-03-02 05:20:02,sangat mantappengamanan aplikasinya trimakasih atas pengamanannya tingkatkan terus apa lagi sekarang jaman era digital penipuan juga semakin canggih aplikasi ini juga jangan kalah itu aja terimakasih,"['sangat', 'mantappengamanan', 'aplikasinya', 'trimakasih', 'atas', 'pengamanannya', 'tingkatkan', 'terus', 'apa', 'lagi', 'sekarang', 'jaman', 'era', 'digital', 'penipuan', 'juga', 'semakin', 'canggih', 'aplikasi', 'ini', 'juga', 'jangan', 'kalah', 'itu', 'aja', 'terimakasih']"
Bg Jon,5,sangat memudahkan dalam transaksi,2026-03-02 05:09:04,sangat memudahkan dalam transaksi,"['sangat', 'memudahkan', 'dalam', 'transaksi']"
Rajimin rajimin,5,"brimo nya setiap 3 hari instal trs kalau gak di instal gambarnya,putih doang",2026-03-02 05:06:39,brimo nya setiap  hari instal trs kalau gak di instal gambarnyaputih doang,"['brimo', 'nya', 'setiap', 'hari', 'instal', 'trs', 'kalau', 'gak', 'di', 'instal', 'gambarnyaputih', 'doang']"
Erik Jeep,2,sudah 2x aplikasi Brimo Begitu Login jadi LAYAR PUTIH semua. padahal Sangat Amat Penting.,2026-03-02 05:04:55,sudah x aplikasi brimo begitu login jadi layar putih semua padahal sangat amat penting,"['sudah', 'x', 'aplikasi', 'brimo', 'begitu', 'login', 'jadi', 'layar', 'putih', 'semua', 'padahal', 'sangat', 'amat', 'penting']"
Pawonmak Sri,5,sangat baik,2026-03-02 04:38:03,sangat baik,"['sangat', 'baik']"
Mufti Lanang,2,KOK GA BISA DI TF SIH,2026-03-02 04:32:43,kok ga bisa di tf sih,"['kok', 'ga', 'bisa', 'di', 'tf', 'sih']"
Iwan Wally,5,saya puas,2026-03-02 04:32:42,saya puas,"['saya', 'puas']"
Sharul Anwar,1,gak optimal,2026-03-02 04:26:03,gak optimal,"['gak', 'optimal']"
gun jack,5,"Keren BRImo lah, semua jadi mudah disaat mendadak butuh transaksi finansial dengan BRImo ditangan. terus tingkatkan kualitas pelayanan mu BRImo",2026-03-02 04:18:42,keren brimo lah semua jadi mudah disaat mendadak butuh transaksi finansial dengan brimo ditangan terus tingkatkan kualitas pelayanan mu brimo,"['keren', 'brimo', 'lah', 'semua', 'jadi', 'mudah', 'disaat', 'mendadak', 'butuh', 'transaksi', 'finansial', 'dengan', 'brimo', 'ditangan', 'terus', 'tingkatkan', 'kualitas', 'pelayanan', 'mu', 'brimo']"
Opp,5,ok,2026-03-02 04:18:19,ok,['ok']
ayuth channel,5,sangat membantu. transaksi cepat... mudah dan lancar,2026-03-02 03:58:51,sangat membantu transaksi cepat mudah dan lancar,"['sangat', 'membantu', 'transaksi', 'cepat', 'mudah', 'dan', 'lancar']"
Urip Budiharto,1,"stelah di update dg versi terbaru, tertulis aplikasi tdk kopatibel, gmana solusinya, android sy versi 8.9 dan aplikasi nya versi 2.93",2026-03-02 03:57:23,stelah di update dg versi terbaru tertulis aplikasi tdk kopatibel gmana solusinya android sy versi  dan aplikasi nya versi ,"['stelah', 'di', 'update', 'dg', 'versi', 'terbaru', 'tertulis', 'aplikasi', 'tdk', 'kopatibel', 'gmana', 'solusinya', 'android', 'sy', 'versi', 'dan', 'aplikasi', 'nya', 'versi']"
Khayla Khey,5,"Assalamualaikum kak, BRImo sy dari kemaren kenapa gak bisa login? Tolong kak ..🙏",2026-03-02 03:02:50,assalamualaikum kak brimo sy dari kemaren kenapa gak bisa login tolong kak ,"['assalamualaikum', 'kak', 'brimo', 'sy', 'dari', 'kemaren', 'kenapa', 'gak', 'bisa', 'login', 'tolong', 'kak']"
Wawan Mahmudin,5,mantap proses cepat gak pake lama,2026-03-02 02:46:43,mantap proses cepat gak pake lama,"['mantap', 'proses', 'cepat', 'gak', 'pake', 'lama']"
Ray Raya,5,saya mau ganti rekening jadi simpades gimana caranya,2026-03-02 02:39:20,saya mau ganti rekening jadi simpades gimana caranya,"['saya', 'mau', 'ganti', 'rekening', 'jadi', 'simpades', 'gimana', 'caranya']"
Agung Prwg,1,nri selalu ketinggalan aplikasi Bank lain sudah pakai IKD,2026-03-02 02:28:00,nri selalu ketinggalan aplikasi bank lain sudah pakai ikd,"['nri', 'selalu', 'ketinggalan', 'aplikasi', 'bank', 'lain', 'sudah', 'pakai', 'ikd']"
Decky kurniawan,1,"gak efesien, lelet",2026-03-02 02:24:00,gak efesien lelet,"['gak', 'efesien', 'lelet']"
echo belenk,4,sempurna,2026-03-02 02:16:15,sempurna,['sempurna']
Ahmad Saepuloh,5,kenapa brimo saya tidak bisa login,2026-03-02 02:05:14,kenapa brimo saya tidak bisa login,"['kenapa', 'brimo', 'saya', 'tidak', 'bisa', 'login']"
Azka Rima yunus,5,ok,2026-03-02 01:58:39,ok,['ok']
armada armadapribadi,5,tingkatkan kepercayaan keamanan akun brimo security hamdal fitur baru yg terbaik banyak manfaat lainnya,2026-03-02 01:52:32,tingkatkan kepercayaan keamanan akun brimo security hamdal fitur baru yg terbaik banyak manfaat lainnya,"['tingkatkan', 'kepercayaan', 'keamanan', 'akun', 'brimo', 'security', 'hamdal', 'fitur', 'baru', 'yg', 'terbaik', 'banyak', 'manfaat', 'lainnya']"
Wandi Toumpur,5,apliksi ini sangat berguna,2026-03-02 01:41:57,apliksi ini sangat berguna,"['apliksi', 'ini', 'sangat', 'berguna']"
Oji Melati,5,nyaman dan aman,2026-03-02 01:35:53,nyaman dan aman,"['nyaman', 'dan', 'aman']"
MUHAMAD Yusuf,5,mantappp,2026-03-02 01:34:03,mantappp,['mantappp']
Andre Febriansyah,5,sangat cocok untuk transaksi atau pun tabungan,2026-03-02 01:29:34,sangat cocok untuk transaksi atau pun tabungan,"['sangat', 'cocok', 'untuk', 'transaksi', 'atau', 'pun', 'tabungan']"
ulin,5,"layout oke dan mudah dimengerti, blm pernah ada gangguan berarti. lanjutkannn!!",2026-03-02 01:28:39,layout oke dan mudah dimengerti blm pernah ada gangguan berarti lanjutkannn,"['layout', 'oke', 'dan', 'mudah', 'dimengerti', 'blm', 'pernah', 'ada', 'gangguan', 'berarti', 'lanjutkannn']"
Zainul Arif,5,samgan Mudah Bertransaksi dan Sefty,2026-03-02 01:26:25,samgan mudah bertransaksi dan sefty,"['samgan', 'mudah', 'bertransaksi', 'dan', 'sefty']"
Rizky Devi,1,kenapa pas diinstal keluar lagi konyol,2026-03-02 00:51:04,kenapa pas diinstal keluar lagi konyol,"['kenapa', 'pas', 'diinstal', 'keluar', 'lagi', 'konyol']"
saep doank,4,ok,2026-03-02 00:45:32,ok,['ok']
Yoga Baguz,1,brimo apk busuk erorr terus,2026-03-02 00:44:40,brimo apk busuk erorr terus,"['brimo', 'apk', 'busuk', 'erorr', 'terus']"
Mak Ntik76,1,kebanyakan drama taiii.... kalian yang salah karena sistem aplikasi tolol ehh malah jadi nunggu 24 jam buat bisa verifikasi lagi....,2026-03-02 00:42:58,kebanyakan drama taiii kalian yang salah karena sistem aplikasi tolol ehh malah jadi nunggu  jam buat bisa verifikasi lagi,"['kebanyakan', 'drama', 'taiii', 'kalian', 'yang', 'salah', 'karena', 'sistem', 'aplikasi', 'tolol', 'ehh', 'malah', 'jadi', 'nunggu', 'jam', 'buat', 'bisa', 'verifikasi', 'lagi']"
Andrewfp Andrew,5,good,2026-03-02 00:36:40,good,['good']
Cahya Wahyu,5,ok,2026-03-02 00:36:33,ok,['ok']
Ratno Timur,5,membantu banget,2026-03-02 00:36:22,membantu banget,"['membantu', 'banget']"
Erlan Sbastian,5,brimo keren,2026-03-02 00:24:43,brimo keren,"['brimo', 'keren']"
FN video,5,keren,2026-03-02 00:23:08,keren,['keren']
Harsen S,5,mantap,2026-03-02 00:17:13,mantap,['mantap']
Rhony05,5,sangat membantu saya untuk transaksi,2026-03-02 00:14:05,sangat membantu saya untuk transaksi,"['sangat', 'membantu', 'saya', 'untuk', 'transaksi']"
Lady Roose,1,"aplikasi buruk, sering banget transaksi eror",2026-03-02 00:01:02,aplikasi buruk sering banget transaksi eror,"['aplikasi', 'buruk', 'sering', 'banget', 'transaksi', 'eror']"
Eka Pra,5,baik,2026-03-01 23:50:50,baik,['baik']
Muhammad Asrar,5,bagus,2026-03-01 23:43:29,bagus,['bagus']
Wijiati Tii,5,bagus sekali,2026-03-01 23:25:11,bagus sekali,"['bagus', 'sekali']"
Yandi Rosyadi,5,okey sip,2026-03-01 23:15:26,okey sip,"['okey', 'sip']"
Haris Zuares,5,sangat bagus,2026-03-01 23:14:04,sangat bagus,"['sangat', 'bagus']"
Ica Uci,2,"bantu dong, lupa pasword untuk transfer",2026-03-01 23:12:33,bantu dong lupa pasword untuk transfer,"['bantu', 'dong', 'lupa', 'pasword', 'untuk', 'transfer']"
muhammad fatoni,5,"aplikasi cepat dan responsif, tampilan menarik dan mudah dipahami",2026-03-01 23:05:51,aplikasi cepat dan responsif tampilan menarik dan mudah dipahami,"['aplikasi', 'cepat', 'dan', 'responsif', 'tampilan', 'menarik', 'dan', 'mudah', 'dipahami']"
Al Azid Jurohim One,5,Oke nice apk,2026-03-01 23:05:03,oke nice apk,"['oke', 'nice', 'apk']"
darah simanjuntak,4,kurang,2026-03-01 22:58:12,kurang,['kurang']
Fella 2708,5,pelayanan yang sangat bagus,2026-03-01 22:55:52,pelayanan yang sangat bagus,"['pelayanan', 'yang', 'sangat', 'bagus']"
Fajar Arisanto,5,ok punya,2026-03-01 22:55:04,ok punya,"['ok', 'punya']"
Suryadi Suryadi,1,"huuuuu loading lama banget lo, mendingan gw copot lagi",2026-03-01 22:49:46,huuuuu loading lama banget lo mendingan gw copot lagi,"['huuuuu', 'loading', 'lama', 'banget', 'lo', 'mendingan', 'gw', 'copot', 'lagi']"
Abdurrohman Soleh,5,mantap,2026-03-01 22:44:14,mantap,['mantap']
Kismani,5,"mantap, sangat membantu sekali 👍👍👍",2026-03-01 22:38:39,mantap sangat membantu sekali ,"['mantap', 'sangat', 'membantu', 'sekali']"
Sobintar Sihombing,5,jossss,2026-03-01 22:36:41,jossss,['jossss']
Vingky Vingky,5,Kka knpa kalu mau kirim ke dana susah?,2026-03-01 22:29:15,kka knpa kalu mau kirim ke dana susah,"['kka', 'knpa', 'kalu', 'mau', 'kirim', 'ke', 'dana', 'susah']"
Hanifah Hanifah,5,puas dengan brimo,2026-03-01 22:24:25,puas dengan brimo,"['puas', 'dengan', 'brimo']"
Bambang Heru Rasianto,5,Bener banget,2026-03-01 22:21:16,bener banget,"['bener', 'banget']"
Armindo Gege,5,sangat membantuu,2026-03-01 22:17:29,sangat membantuu,"['sangat', 'membantuu']"
EVAN BENINGTON,2,mohon maaf aku uninstal soalnya sudah ngirim kendalanya lewat email sampai sekarang belum ada balasanya dan solusinya,2026-03-01 22:11:32,mohon maaf aku uninstal soalnya sudah ngirim kendalanya lewat email sampai sekarang belum ada balasanya dan solusinya,"['mohon', 'maaf', 'aku', 'uninstal', 'soalnya', 'sudah', 'ngirim', 'kendalanya', 'lewat', 'email', 'sampai', 'sekarang', 'belum', 'ada', 'balasanya', 'dan', 'solusinya']"
Perto Nela,5,gimana nih ko masuk ke brimo gak bisah sih kak,2026-03-01 22:08:35,gimana nih ko masuk ke brimo gak bisah sih kak,"['gimana', 'nih', 'ko', 'masuk', 'ke', 'brimo', 'gak', 'bisah', 'sih', 'kak']"
Dude akung,1,"ini kenapa ngeblank putih gak bisa dipake,...gimana sih",2026-03-01 22:07:02,ini kenapa ngeblank putih gak bisa dipakegimana sih,"['ini', 'kenapa', 'ngeblank', 'putih', 'gak', 'bisa', 'dipakegimana', 'sih']"
ade kusuma,4,sangat bagus,2026-03-01 22:00:44,sangat bagus,"['sangat', 'bagus']"
KARMIJAN (mijan),5,transaksi sangat mudah,2026-03-01 22:00:05,transaksi sangat mudah,"['transaksi', 'sangat', 'mudah']"
Akma Akmal,5,sangat bagus,2026-03-01 21:55:43,sangat bagus,"['sangat', 'bagus']"
Wawan Kurnianto,5,bagus sekali,2026-03-01 21:53:19,bagus sekali,"['bagus', 'sekali']"
Ardi Jombang,5,BRImo the Besst,2026-03-01 21:51:56,brimo the besst,"['brimo', 'the', 'besst']"
Safa Nur Khariimah,5,kenapa gak bisa,2026-03-01 21:51:44,kenapa gak bisa,"['kenapa', 'gak', 'bisa']"
Huri Susanto,3,tidak bisa dibuka,2026-03-01 21:48:22,tidak bisa dibuka,"['tidak', 'bisa', 'dibuka']"
Yanus Lebo,5,terbaik,2026-03-01 21:38:43,terbaik,['terbaik']
Anto Bengkel,5,mantap,2026-03-01 21:36:14,mantap,['mantap']
Ali Bbm,5,baik,2026-03-01 21:33:07,baik,['baik']
Eka Putri,5,bagus,2026-03-01 21:31:56,bagus,['bagus']
Pahyuji 89,5,suka,2026-03-01 21:30:06,suka,['suka']
Budi Apriyanto,5,"saya registrasi ulang brimo tidak bisa padahal sudah konfirmasi ke pihak bank untuk mengganti pake nomor yang aktif.... tujuannya biar akun brimo saya lebih aman sekarang malahan tidak bisa kendala di registrasi nya gagal terus sampai"" cs bank BRI nya bingung sekarang bRiMo susah buat login malahan ribet",2026-03-01 21:25:50,saya registrasi ulang brimo tidak bisa padahal sudah konfirmasi ke pihak bank untuk mengganti pake nomor yang aktif tujuannya biar akun brimo saya lebih aman sekarang malahan tidak bisa kendala di registrasi nya gagal terus sampai cs bank bri nya bingung sekarang brimo susah buat login malahan ribet,"['saya', 'registrasi', 'ulang', 'brimo', 'tidak', 'bisa', 'padahal', 'sudah', 'konfirmasi', 'ke', 'pihak', 'bank', 'untuk', 'mengganti', 'pake', 'nomor', 'yang', 'aktif', 'tujuannya', 'biar', 'akun', 'brimo', 'saya', 'lebih', 'aman', 'sekarang', 'malahan', 'tidak', 'bisa', 'kendala', 'di', 'registrasi', 'nya', 'gagal', 'terus', 'sampai', 'cs', 'bank', 'bri', 'nya', 'bingung', 'sekarang', 'brimo', 'susah', 'buat', 'login', 'malahan', 'ribet']"
Agus Solikin,5,punyaku gak bisa dibuka,2026-03-01 21:21:02,punyaku gak bisa dibuka,"['punyaku', 'gak', 'bisa', 'dibuka']"
Komang Setia,5,sangat baik sangat membantu transaksi,2026-03-01 21:20:19,sangat baik sangat membantu transaksi,"['sangat', 'baik', 'sangat', 'membantu', 'transaksi']"
Iyanganjar Wijaya,5,semuwa jadi midah👍👍,2026-03-01 21:18:37,semuwa jadi midah,"['semuwa', 'jadi', 'midah']"
ipey Tan,5,makin sini makin bagus,2026-03-01 21:17:21,makin sini makin bagus,"['makin', 'sini', 'makin', 'bagus']"
Nur Meriana,5,good,2026-03-01 21:11:45,good,['good']
azizul muiz,5,knp brimo saya suka g ke buka ya..kadang bagus kadang g ke buka,2026-03-01 21:09:44,knp brimo saya suka g ke buka yakadang bagus kadang g ke buka,"['knp', 'brimo', 'saya', 'suka', 'g', 'ke', 'buka', 'yakadang', 'bagus', 'kadang', 'g', 'ke', 'buka']"
Aqilla Harjo,5,ok mntap,2026-03-01 21:07:12,ok mntap,"['ok', 'mntap']"
Tomz Byy,5,Hallo .. Brimo kenapa ya setiap kali buka selalu putih .. udah itu saya hapus Dwonlod lagi harus foto ktp trus dan foto muka dan itu trus menerus kyk gtu .. setiap kali buka harus foto ktp am muka ..,2026-03-01 21:06:56,hallo  brimo kenapa ya setiap kali buka selalu putih  udah itu saya hapus dwonlod lagi harus foto ktp trus dan foto muka dan itu trus menerus kyk gtu  setiap kali buka harus foto ktp am muka ,"['hallo', 'brimo', 'kenapa', 'ya', 'setiap', 'kali', 'buka', 'selalu', 'putih', 'udah', 'itu', 'saya', 'hapus', 'dwonlod', 'lagi', 'harus', 'foto', 'ktp', 'trus', 'dan', 'foto', 'muka', 'dan', 'itu', 'trus', 'menerus', 'kyk', 'gtu', 'setiap', 'kali', 'buka', 'harus', 'foto', 'ktp', 'am', 'muka']"
Hendra Jaya,4,bintang 4 dulu klau makin bagus nanti ku kasih 5😁,2026-03-01 20:59:46,bintang  dulu klau makin bagus nanti ku kasih ,"['bintang', 'dulu', 'klau', 'makin', 'bagus', 'nanti', 'ku', 'kasih']"
Indra Prasetya,5,nyaman,2026-03-01 20:59:04,nyaman,['nyaman']
mun faati,5,sangat2 membantu memudahkan transaksi,2026-03-01 20:58:47,sangat membantu memudahkan transaksi,"['sangat', 'membantu', 'memudahkan', 'transaksi']"
pino pino,5,saya kasih bintang 5 untuk BRIMO,2026-03-01 20:54:13,saya kasih bintang  untuk brimo,"['saya', 'kasih', 'bintang', 'untuk', 'brimo']"
Bang Lana,5,👍,2026-03-01 20:49:35,,[]
Agung Kurniawan,5,mantap,2026-03-01 20:47:24,mantap,['mantap']
Pratiwy,5,Jadi lebih mudah untuk melakukan transaksi ☺️👍,2026-03-01 20:45:11,jadi lebih mudah untuk melakukan transaksi ,"['jadi', 'lebih', 'mudah', 'untuk', 'melakukan', 'transaksi']"
Sri Onah,5,Membantu 👍👍,2026-03-01 20:39:58,membantu ,['membantu']
